,MovieID,Title,Genres,Release Year
1,1,Toy Story,Animation|Children's|Comedy,1995
2,2,Jumanji,Adventure|Children's|Fantasy,1995
3,3,Grumpier Old Men,Comedy|Romance,1995
4,4,Waiting to Exhale,Comedy|Drama,1995
5,5,Father of the Bride Part II,Comedy,1995
6,6,Heat,Action|Crime|Thriller,1995
7,7,Sabrina (1995),Comedy|Romance,1995
8,8,Tom and Huck,Adventure|Children's,1995
9,9,Sudden Death,Action,1995
10,10,GoldenEye,Action|Adventure|Thriller,1995
11,11,The American President,Comedy|Drama|Romance,1995
12,12,Dracula: Dead and Loving It,Comedy|Horror,1995
13,13,Balto,Animation|Children's,1995
14,14,Nixon,Drama,1995
15,15,Cutthroat Island,Action|Adventure|Romance,1995
16,16,Casino,Drama|Thriller,1995
17,17,Sense and Sensibility,Drama|Romance,1995
18,18,Four Rooms,Thriller,1995
19,19,Ace Ventura: When Nature Calls,Comedy,1995
20,20,Money Train,Action,1995
21,21,Get Shorty,Action|Comedy|Drama,1995
22,22,Copycat,Crime|Drama|Thriller,1995
23,23,Assassins,Thriller,1995
24,24,Powder,Drama|Sci-Fi,1995
25,25,Leaving Las Vegas,Drama|Romance,1995
26,26,Othello (1995),Drama,1995
27,27,Now and Then,Drama,1995
28,28,Persuasion,Romance,1995
29,29,The City of Lost Children,Adventure|Sci-Fi,1995
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,1995
31,31,Dangerous Minds,Drama,1995
32,32,Twelve Monkeys,Drama|Sci-Fi,1995
33,33,Wings of Courage,Adventure|Romance,1995
34,34,Babe,Children's|Comedy|Drama,1995
35,35,Carrington,Drama|Romance,1995
36,36,Dead Man Walking,Drama,1995
37,37,Across the Sea of Time,Documentary,1995
38,38,It Takes Two,Comedy,1995
39,39,Clueless,Comedy|Romance,1995
40,40,"The Cry, the Beloved Country",Drama,1995
41,41,Richard III,Drama|War,1995
42,42,Dead Presidents,Action|Crime|Drama,1995
43,43,Restoration,Drama,1995
44,44,Mortal Kombat,Action|Adventure,1995
45,45,To Die For,Comedy|Drama,1995
46,46,How to Make an American Quilt,Drama|Romance,1995
47,47,Seven (Se7en),Crime|Thriller,1995
48,48,Pocahontas,Animation|Children's|Musical|Romance,1995
49,49,When Night Is Falling,Drama|Romance,1995
50,50,The Usual Suspects,Crime|Thriller,1995
51,51,Guardian Angel,Action|Drama|Thriller,1994
52,52,Mighty Aphrodite,Comedy,1995
53,53,Lamerica,Drama,1994
54,54,The Big Green,Children's|Comedy,1995
55,55,Georgia,Drama,1995
56,56,Kids of the Round Table,Adventure|Children's|Fantasy,1995
57,57,Home for the Holidays,Drama,1995
58,58,"Postino, Il (The Postman)",Drama|Romance,1994
59,59,The Confessional (Le Confessionnal),Drama|Mystery,1995
60,60,The Indian in the Cupboard,Adventure|Children's|Fantasy,1995
61,61,Eye for an Eye,Drama|Thriller,1996
62,62,Mr. Holland's Opus,Drama,1995
63,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996
64,64,Two if by Sea,Comedy|Romance,1996
65,65,Bio-Dome,Comedy,1996
66,66,Lawnmower Man 2: Beyond Cyberspace,Sci-Fi|Thriller,1996
67,67,Two Bits,Drama,1995
68,68,French Twist (Gazon maudit),Comedy|Romance,1995
69,69,Friday,Comedy,1995
70,70,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller,1996
71,71,Fair Game,Action,1995
72,72,Kicking and Screaming,Comedy|Drama,1995
73,73,Les Misérables (1995),Drama|Musical,1995
74,74,Bed of Roses,Drama|Romance,1996
75,75,Big Bully,Comedy|Drama,1996
76,76,Screamers,Sci-Fi|Thriller,1995
77,77,Nico Icon,Documentary,1995
78,78,The Crossing Guard,Drama,1995
79,79,The Juror,Drama|Thriller,1996
80,80,The White Balloon (Badkonake Sefid ),Drama,1995
81,81,Things to Do in Denver when You're Dead,Crime|Drama|Romance,1995
82,82,Antonia's Line (Antonia),Drama,1995
83,83,Once Upon a Time... When We Were Colored,Drama,1995
84,84,Last Summer in the Hamptons,Comedy|Drama,1995
85,85,Angels and Insects,Drama|Romance,1995
86,86,White Squall,Adventure|Drama,1996
87,87,Dunston Checks In,Children's|Comedy,1996
88,88,Black Sheep,Comedy,1996
89,89,Nick of Time,Action|Thriller,1995
90,90,The Journey of August King,Drama,1995
91,92,Mary Reilly,Drama|Thriller,1996
92,93,Vampire in Brooklyn,Comedy|Romance,1995
93,94,Beautiful Girls,Drama,1996
94,95,Broken Arrow,Action|Thriller,1996
95,96,In the Bleak Midwinter,Comedy,1995
96,97,"Hate (Haine, La)",Drama,1995
97,98,Shopping,Action|Thriller,1994
98,99,Heidi Fleiss: Hollywood Madam,Documentary,1995
99,100,City Hall,Drama|Thriller,1996
100,101,Bottle Rocket,Comedy,1996
101,102,Mr. Wrong,Comedy,1996
102,103,Unforgettable,Thriller,1996
103,104,Happy Gilmore,Comedy,1996
104,105,The Bridges of Madison County,Drama|Romance,1995
105,106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994
106,107,Muppet Treasure Island,Adventure|Children's|Comedy|Musical,1996
107,108,Catwalk,Documentary,1995
108,109,Headless Body in Topless Bar,Comedy,1995
109,110,Braveheart,Action|Drama|War,1995
110,111,Taxi Driver,Drama|Thriller,1976
111,112,Rumble in the Bronx,Action|Adventure|Crime,1995
112,113,Before and After,Drama|Mystery,1996
113,114,Margaret's Museum,Drama,1995
114,115,Happiness Is in the Field,Comedy,1995
115,116,Anne Frank Remembered,Documentary,1995
116,117,The Young Poisoner's Handbook,Crime,1995
117,118,If Lucy Fell,Comedy|Romance,1996
118,119,"Steal Big, Steal Little",Comedy,1995
119,120,Race the Sun,Drama,1996
120,121,The Boys of St. Vincent,Drama,1993
121,122,Boomerang,Comedy|Romance,1992
122,123,Chungking Express,Drama|Mystery|Romance,1994
123,124,"The Star Maker (Uomo delle stelle, L')",Drama,1995
124,125,Flirting With Disaster,Comedy,1996
125,126,The NeverEnding Story III,Adventure|Children's|Fantasy,1994
126,127,The Silence of the Palace (Saimt el Qusur),Drama,1994
127,128,Jupiter's Wife,Documentary,1994
128,129,Pie in the Sky,Comedy|Romance,1995
129,130,Angela,Drama,1995
130,131,Frankie Starlight,Drama|Romance,1995
131,132,Jade,Thriller,1995
132,133,Nueba Yol,Comedy|Drama,1995
133,134,Sonic Outlaws,Documentary,1995
134,135,Down Periscope,Comedy,1996
135,136,From the Journals of Jean Seberg,Documentary,1995
136,137,Man of the Year,Documentary,1995
137,138,The Neon Bible,Drama,1995
138,139,Target,Action|Drama,1995
139,140,Up Close and Personal,Drama|Romance,1996
140,141,The Birdcage,Comedy,1996
141,142,Shadows (Cienie),Drama,1988
142,143,Gospa,Drama,1995
143,144,The Brothers McMullen,Comedy,1995
144,145,Bad Boys,Action,1995
145,146,The Amazing Panda Adventure,Adventure|Children's,1995
146,147,The Basketball Diaries,Drama,1995
147,148,An Awfully Big Adventure,Drama,1995
148,149,Amateur,Crime|Drama|Thriller,1994
149,150,Apollo 13,Drama,1995
150,151,Rob Roy,Drama|Romance|War,1995
151,152,The Addiction,Horror,1995
152,153,Batman Forever,Action|Adventure|Comedy|Crime,1995
153,154,Belle de jour,Drama,1967
154,155,Beyond Rangoon,Drama|War,1995
155,156,Blue in the Face,Comedy,1995
156,157,Canadian Bacon,Comedy|War,1994
157,158,Casper,Adventure|Children's,1995
158,159,Clockers,Drama,1995
159,160,Congo,Action|Adventure|Mystery|Sci-Fi,1995
160,161,Crimson Tide,Drama|Thriller|War,1995
161,162,Crumb,Documentary,1994
162,163,Desperado,Action|Romance|Thriller,1995
163,164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
164,165,Die Hard: With a Vengeance,Action|Thriller,1995
165,166,The Doom Generation,Comedy|Drama,1995
166,167,Feast of July,Drama,1995
167,168,First Knight,Action|Adventure|Drama|Romance,1995
168,169,Free Willy 2: The Adventure Home,Adventure|Children's|Drama,1995
169,170,Hackers,Action|Crime|Thriller,1995
170,171,Jeffrey,Comedy,1995
171,172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
172,173,Judge Dredd,Action|Adventure|Sci-Fi,1995
173,174,Jury Duty,Comedy,1995
174,175,Kids,Drama,1995
175,176,Living in Oblivion,Comedy,1995
176,177,Lord of Illusions,Horror,1995
177,178,Love & Human Remains,Comedy,1993
178,179,Mad Love,Drama|Romance,1995
179,180,Mallrats,Comedy,1995
180,181,Mighty Morphin Power Rangers: The Movie,Action|Children's,1995
181,182,Moonlight and Valentino,Drama|Romance,1995
182,183,Mute Witness,Thriller,1994
183,184,Nadja,Drama,1994
184,185,The Net,Sci-Fi|Thriller,1995
185,186,Nine Months,Comedy,1995
186,187,Party Girl,Comedy,1995
187,188,The Prophecy,Horror,1995
188,189,Reckless,Comedy,1995
189,190,Safe,Thriller,1995
190,191,The Scarlet Letter (1995),Drama,1995
191,192,The Show,Documentary,1995
192,193,Showgirls,Drama,1995
193,194,Smoke,Drama,1995
194,195,Something to Talk About,Comedy|Drama|Romance,1995
195,196,Species,Horror|Sci-Fi,1995
196,197,The Stars Fell on Henrietta,Drama,1995
197,198,Strange Days,Action|Crime|Sci-Fi,1995
198,199,Les The Umbrellas of Cherbourg (Parapluies de Cherbourg),Drama|Musical,1964
199,200,The Tie That Binds,Thriller,1995
200,201,Three Wishes,Drama,1995
201,202,Total Eclipse,Drama|Romance,1995
202,203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
203,204,Under Siege 2: Dark Territory,Action,1995
204,205,Unstrung Heroes,Comedy|Drama,1995
205,206,Unzipped,Documentary,1995
206,207,A Walk in the Clouds,Drama|Romance,1995
207,208,Waterworld,Action|Adventure,1995
